"shop_code","shop_type","shop_name","shop_address","shop_grand_opening_date","shop_opening_date","shop_closing_date","shop_province_name","shop_province_code","shop_area_name","shop_region_name","shop_ward_name","shop_ward_code","_record_date"
SHOP_136,"[""F""]","LC HCM 1 Dương Đình Hội, P. Phước Long","1 Dương Đình Hội, P. Phước Long B, TP. Thủ Đức, TP. Hồ Chí Minh",2019-06-12,2019-05-18,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 2 - KV18,Hồ Chí Minh 2,Phường Phước Long B,"90107",2026-05-13
SHOP_137,"[""F""]","LC DTP 1B DT852, P. Sa Đéc","1B DT852, P. An Hòa, TP. Sa Đéc, Tỉnh Đồng Tháp",2020-12-11,2020-11-20,2149-06-06,Tỉnh Đồng Tháp,"20",Miền Tây Nam Bộ - KV21,Miền Tây,Phường An Hòa,"29919",2026-05-13
SHOP_138,"[""F""]","LC DAG Khối Phố Trung Phú 2, P. Điện Bàn","Khối Phố Trung Phú 2, P. Điện Minh, TX. Điện Bàn, Tỉnh Quảng Nam",2024-10-05,2024-09-04,2149-06-06,Tỉnh Quảng Nam,"51",Miền Trung - KV12,Miền Trung,Phường Điện Minh,"20593",2026-05-13
SHOP_139,"[""F""]","LC PTO 285 Mê Linh, P. Vĩnh Phúc","285 Mê Linh, P. Liên Bảo, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",2021-11-15,2021-12-22,2149-06-06,Tỉnh Vĩnh Phúc,"63",Miền Bắc 1 - KV12,Miền Bắc 1,Phường Liên Bảo,"8710",2026-05-13
SHOP_14,"[""F""]","LC NBH Thôn Quỳnh Phong 3, P. Tây Hoa Lư","Thôn Quỳnh Phong 3, X. Sơn Hà, H. Nho Quan, Tỉnh Ninh Bình",2024-09-22,2024-08-08,2149-06-06,Tỉnh Ninh Bình,"43",Miền Bắc 2 - KV8,Miền Bắc 2,Xã Sơn Hà,"14455",2026-05-13
SHOP_140,"[""F""]","LC LĐG 787-789 Hùng Vương, X. Di Linh","787-789 Hùng Vương, TT. Di Linh, H. Di Linh, Tỉnh Lâm Đồng",2022-01-17,2022-03-03,2149-06-06,Tỉnh Lâm Đồng,"40",Miền Đông - KV18,Miền Đông,Thị trấn Di Linh,"25000",2026-05-13
SHOP_141,"[""F""]","LC HCM 232B Tôn Thất Thuyết, P. Vĩnh Hội","232B Tôn Thất Thuyết, P. 3, Q. 4, TP. Hồ Chí Minh",2024-12-16,2024-11-22,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV23,Hồ Chí Minh 1,Phường 3,"27286",2026-05-13
SHOP_142,"[""VACCINE""]","VX QNI 386 Nguyễn Nghiêm, P. Cẩm Thành","386 Nguyễn Nghiêm, P. Nguyễn Nghiêm, TP. Quảng Ngãi, Tỉnh Quảng Ngãi",2025-05-23,2025-05-20,2149-06-06,Tỉnh Quảng Ngãi,"50",Miền Trung - KV16,Miền Trung,Phường Nguyễn Nghiêm,"90167",2026-05-13
SHOP_143,"[""F""]","LC TNN 61B-61C Tổ 4, P. Tích Lương","61B-61C, Tổ 4, P. Trung Thành, TP. Thái Nguyên, Tỉnh Thái Nguyên",2025-06-27,2025-05-23,2149-06-06,Tỉnh Thái Nguyên,"59",Miền Bắc 1 - KV9,Miền Bắc 1,Phường Trung Thành,"5476",2026-05-13
SHOP_144,"[""F""]","LC QTI QL1A Hải Phú, X. Đông Trạch","QL1A, X. Hải Phú, H. Bố Trạch, Tỉnh Quảng Bình",2025-05-10,2025-04-06,2149-06-06,Tỉnh Quảng Bình,"48",Miền Trung - KV10,Miền Trung,Xã Hải Phú,"90345",2026-05-13
SHOP_145,"[""F""]","LC QTI Thôn Phúc Tự Đông, X. Hoàn Lão","Thôn Phúc Tự Đông, X. Đại Trạch, H. Bố Trạch, Tỉnh Quảng Bình",2023-09-24,2023-08-08,2149-06-06,Tỉnh Quảng Bình,"48",Miền Trung - KV10,Miền Trung,Xã Đại Trạch,"19186",2026-05-13
SHOP_146,"[""F""]","LC NAN 29 Nguyễn Xí, P. Cửa Lò","29 Nguyễn Xí, P. Thu Thủy, TX. Cửa Lò, Tỉnh Nghệ An",2024-06-03,2024-04-28,2149-06-06,Tỉnh Nghệ An,"42",Miền Trung - KV22,Miền Trung,Phường Thu Thuỷ,"16723",2026-05-13
SHOP_147,"[""F""]","LC TNN TDP Thái Long, X. Võ Nhai","TDP Thái Long, TT. Đình Cả, H. Võ Nhai, Tỉnh Thái Nguyên",2025-08-24,2025-07-12,2149-06-06,Tỉnh Thái Nguyên,"59",Miền Bắc 1 - KV6,Miền Bắc 1,Thị trấn Đình Cả,"5716",2026-05-13
SHOP_148,"[""F""]","LC HNI 29 Tổ 4, Chợ Trung Tâm Đông Anh, X. Đông Anh","29 Tổ 4, TT. Đông Anh, H. Đông Anh, TP. Hà Nội",2022-12-12,2022-11-29,2149-06-06,Hà Nội,"26",Hà Nội - KV12,Hà Nội,Thị trấn Đông Anh,"454",2026-05-13
SHOP_149,"[""F""]","LC AGG 958 Đường ĐT944, X. Hội An","958 đường ĐT 944, X. Hòa Bình, H. Chợ Mới, Tỉnh An Giang",2025-07-18,2025-06-05,2149-06-06,Tỉnh An Giang,"1",Miền Tây Nam Bộ - KV21,Miền Tây,Xã Hòa Bình,"30676",2026-05-13
SHOP_15,"[""F""]","LC HYN 355 Phố Lý Bôn, P. Trần Hưng Đạo","355 Phố Lý Bôn, P. Đề Thám, TP. Thái Bình, Tỉnh Thái Bình",2024-10-25,2024-09-26,2149-06-06,Tỉnh Thái Bình,"55",Miền Bắc 2 - KV22,Miền Bắc 2,Phường Đề Thám,"12439",2026-05-13
SHOP_150,"[""F""]","LC HYN Thôn Trương Xá, X. Nghĩa Dân","Thôn Trương Xá, X. Toàn Thắng, H. Kim Động, Tỉnh Hưng Yên",2026-01-06,2025-11-28,2149-06-06,Tỉnh Hưng Yên,"33",Miền Bắc 2 - KV23,Miền Bắc 2,Xã Toàn Thắng,"12286",2026-05-13
SHOP_151,"[""VACCINE""]","VX HCM 38 Liêu Bình Hương, X. Củ Chi","38 Liêu Bình Hương, X. Tân Thông Hội, H. Củ Chi, TP. Hồ Chí Minh",2024-06-07,2024-06-04,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV18,Hồ Chí Minh 1,Xã Tân Thông Hội,"27556",2026-05-13
SHOP_152,"[""F""]","LC DNI 1309 Phú Riềng Đỏ, P. Bình Phước","1309 Phú Riềng Đỏ, P. Tân Phú, TP. Đồng Xoài, Tỉnh Bình Phước",2022-06-06,2022-06-19,2149-06-06,Tỉnh Bình Phước,"8",Miền Đông - KV26,Miền Đông,Phường Tân Phú,"25195",2026-05-13
SHOP_153,"[""HOPE""]","HOPE HCM 60-60A Phan Xích Long, P. Cầu Kiệu","60-60A Phan Xích Long, P. 1, Q. Phú Nhuận, TP. Hồ Chí Minh",2149-06-06,2023-07-15,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV3,Hồ Chí Minh 1,Phường 1,"27058",2026-05-13
SHOP_154,"[""F""]","LC HCM 226-228 Yersin, P. Thủ Dầu Một","226-228 Yersin, P. Hiệp Thành, TP. Thủ Dầu Một, Tỉnh Bình Dương",2020-05-22,2020-03-28,2025-11-18,Tỉnh Bình Dương,"2",Hồ Chí Minh 2 - KV15,Hồ Chí Minh 2,Phường Hiệp Thành,"25741",2026-05-13
SHOP_155,"[""DANT""]",HUB NT HCM 198O Xóm Chiếu,"198O Xóm Chiếu, P. 14, Q. 4, TP. Hồ Chí Minh",2149-06-06,2023-04-26,2149-06-06,Hồ Chí Minh,"23",HCM - DANT KV 1,Hồ Chí Minh 1,Phường 14,"27280",2026-05-13
SHOP_156,"[""F""]","LC DAG Thôn Túy Loan Đông 1, X. Hòa Vang","Thửa Đất 582, Bản Đồ 33, Thôn Túy Loan Đông 1, X. Hòa Phong, H. Hòa Vang, TP. Đà Nẵng",2025-02-22,2025-01-17,2149-06-06,Đà Nẵng,"17",Miền Trung - KV30,Miền Trung,Xã Hòa Phong,"20320",2026-05-13
SHOP_157,"[""F""]","LC LCU 107 Trần Hưng Đạo, P. Đoàn Kết","107 Trần Hưng Đạo, P. Đoàn Kết, TP. Lai Châu, Tỉnh Lai Châu",2025-06-17,2025-06-01,2149-06-06,Tỉnh Lai Châu,"39",Miền Bắc 1 - KV10,Miền Bắc 1,Phường Đoàn Kết,"3389",2026-05-13
SHOP_158,"[""F""]","LC HNI 140 Ngọc Thụy, P. Bồ Đề","140 Ngọc Thụy, P. Ngọc Thụy, Q. Long Biên, TP. Hà Nội",2022-05-11,2022-06-02,2149-06-06,Hà Nội,"26",Hà Nội - KV13,Hà Nội,Phường Ngọc Thụy,"118",2026-05-13
SHOP_159,"[""F""]","LC NBH 118 Trần Nhật Duật, P. Nam Định","118 Trần Nhật Duật, P. Trần Tế Xương, TP. Nam Định, Tỉnh Nam Định",2021-04-26,2021-03-26,2149-06-06,Tỉnh Nam Định,"44",Miền Bắc 2 - KV15,Miền Bắc 2,Phường Trần Tế Xương,"13636",2026-05-13
SHOP_16,"[""F""]","LC KHA Thôn Lạc Tân 1, X. Cà Ná","Thôn Lạc Tân 1, X. Phước Diêm, H. Thuận Nam, Tỉnh Ninh Thuận",2023-07-26,2023-06-13,2149-06-06,Tỉnh Ninh Thuận,"45",Miền Đông - KV15,Miền Đông,Xã Phước Diêm,"22909",2026-05-13
SHOP_160,"[""F""]","LC HNI 33 Núi Trúc, P. Giảng Võ","33 Núi Trúc, P. Kim Mã, Q. Ba Đình, TP. Hà Nội",2020-07-31,2020-07-20,2149-06-06,Hà Nội,"26",Hà Nội - KV16,Hà Nội,Phường Kim Mã,"28",2026-05-13
SHOP_161,"[""F""]","LC HPG 385-387-389 ĐT391, X. Tứ Kỳ","385-387-389 ĐT391, TT. Tứ Kỳ, H. Tứ Kỳ, Tỉnh Hải Dương",2023-06-30,2023-06-01,2149-06-06,Tỉnh Hải Dương,"24",Miền Bắc 2 - KV4,Miền Bắc 2,Thị trấn Tứ Kỳ,"11074",2026-05-13
SHOP_162,"[""F""]","LC PTO 2 Lý Thường Kiệt, P. Thống Nhất","2 Lý Thường Kiệt, P. Thống Nhất, TP. Hòa Bình, Tỉnh Hòa Bình",2024-07-12,2024-06-26,2149-06-06,Tỉnh Hòa Bình,"22",Miền Bắc 1 - KV15,Miền Bắc 1,Xã Thống Nhất,"4828",2026-05-13
SHOP_163,"[""F""]","LC BNH 107-109 Nguyễn Văn Cừ, X. Gia Bình","107-109 Nguyễn Văn Cừ, X. Xuân Lai, Huyện Gia Bình, Tỉnh Bắc Ninh",2025-12-13,2025-11-20,2149-06-06,Tỉnh Bắc Ninh,"7",Hà Nội - KV24,Hà Nội,Xã Xuân Lai,"9484",2026-05-13
SHOP_164,"[""F""]","LC NBH 85 Mạc Thị Bưởi, P. Nam Định","85 Mạc Thị Bưởi, P. Quang Trung, TP. Nam Định, Tỉnh Nam Định",2021-11-09,2021-12-03,2149-06-06,Tỉnh Nam Định,"44",Miền Bắc 2 - KV15,Miền Bắc 2,Phường Quang Trung,"13645",2026-05-13
SHOP_165,"[""F""]","LC LĐG Thôn 3, X. Cư Jút","Thôn 3, X. Tâm Thắng, H. Cư Jút, Tỉnh Đắk Nông",2025-07-30,2025-07-14,2149-06-06,Tỉnh Đăk Nông,"19",Miền Đông - KV8,Miền Đông,Xã Tâm Thắng,"24655",2026-05-13
SHOP_166,"[""F""]","LC BNH Thôn Bảo Tân, X. Hợp Thịnh","Thôn Bảo Tân, Xã Hợp Thịnh, Huyện Hiệp Hòa, Tỉnh Bắc Giang",2025-11-10,2025-09-22,2149-06-06,Tỉnh Bắc Giang,"4",Hà Nội - KV24,Hà Nội,Xã Hợp Thịnh,"7858",2026-05-13
SHOP_167,"[""F""]","LC CTO 653 Hai Bà Trưng, X. Lịch Hội Thượng","653 Hai Bà Trưng, TT. Lịch Hội Thượng, H. Trần Đề, Tỉnh Sóc Trăng",2024-11-08,2024-10-30,2149-06-06,Tỉnh Sóc Trăng,"54",Miền Tây Nam Bộ - KV4,Miền Tây,Thị trấn Lịch Hội Thượng,"31679",2026-05-13
SHOP_168,"[""VACCINE""]","VX HCM 3 Bùi Bằng Đoàn, P. Tân Hưng","3 Bùi Bằng Đoàn, P. Tân Phong, Q. 7, TP. Hồ Chí Minh",2025-06-06,2025-06-03,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV9,Hồ Chí Minh 1,Phường Tân Phong,"27490",2026-05-13
SHOP_169,"[""F""]","LC NAN Xóm Lý Nhân, X. Yên Thành","Xóm Lý Nhân, X. Hợp Thành, H. Yên Thành, Tỉnh Nghệ An",2023-12-23,2023-10-31,2149-06-06,Tỉnh Nghệ An,"42",Miền Trung - KV26,Miền Trung,Xã Hợp Thành,"17563",2026-05-13
